SYN-ACK,564707973,610783965,30.249.94.17.,40984,237.37.243.152.,30372
SYN-ACK,328503735,1035109842,214.199.48.190.,63186,208.64.123.19.,6248
SYN-ACK,1992608016,1687192176,250.44.201.51.,7071,197.78.29.99.,2163
ACK(SYN),1035109842,328503736,208.64.123.19.,6248,214.199.48.190.,63186
SYN-ACK,1802321794,2103870879,253.248.64.129.,35603,9.137.162.225.,12973
SYN-ACK,960980078,566150928,124.21.52.16.,31693,184.178.92.5.,28534
ACK(SYN),2103870879,1802321795,9.137.162.225.,12973,253.248.64.129.,35603
SYN-ACK,377241812,2106317778,60.253.180.178.,58715,232.96.24.255.,1052
SYN-ACK,251121993,98180417,176.90.122.25.,3983,205.234.31.136.,33864
ACK(SYN),610783965,564707974,237.37.243.152.,30372,30.249.94.17.,40984
SYN-ACK,726021721,1620973965,19.60.153.209.,8838,218.34.230.208.,5390
SYN-ACK,531569397,966014338,6.176.67.9.,29058,255.53.250.95.,1135
SYN-ACK,627704899,2083476736,62.229.219.159.,53907,234.236.75.154.,27380
ACK(SYN),1687192176,1992608017,197.78.29.99.,2163,250.44.201.51.,7071
SYN-ACK,2114192072,647755340,232.117.26.197.,18296,25.244.21.112.,13211
SYN-ACK,1570159166,258080954,254.168.82.172.,42573,11.75.41.155.,57209
SYN-ACK,444538916,1213354768,17.10.104.15.,22906,101.39.49.213.,38420
ACK(SYN),2083476736,627704900,234.236.75.154.,27380,62.229.219.159.,53907
ACK(SYN),258080954,1570159167,11.75.41.155.,57209,254.168.82.172.,42573
ACK(SYN),1213354768,444538917,101.39.49.213.,38420,17.10.104.15.,22906
ACK(SYN),566150928,960980079,184.178.92.5.,28534,124.21.52.16.,31693
SYN-ACK,1098799903,1038093313,79.83.244.134.,16276,147.140.218.137.,64497
SYN-ACK,1879740554,840424502,12.177.61.208.,5994,16.242.148.69.,21195
SYN-ACK,590288983,1492979810,20.178.25.154.,49658,179.130.134.86.,5232
ACK(SYN),647755340,2114192073,25.244.21.112.,13211,232.117.26.197.,18296
SYN-ACK,1633693869,638356657,194.150.228.221.,46736,136.94.53.3.,29655
SYN-ACK,929590985,1966378418,199.58.159.114.,53717,43.121.218.148.,524
SYN-ACK,665163047,502887048,249.74.250.201.,11795,184.63.87.61.,64899
SYN-ACK,1043032683,1579330900,108.166.224.23.,17191,125.207.165.243.,65397
SYN-ACK,1618670740,739258700,34.230.213.196.,49698,136.22.1.136.,34054
ACK(SYN),638356657,1633693870,136.94.53.3.,29655,194.150.228.221.,46736
SYN-ACK,2018990028,708455301,81.199.189.208.,9377,56.228.189.93.,55103
ACK(SYN),2106317778,377241813,232.96.24.255.,1052,60.253.180.178.,58715
ACK(SYN),502887048,665163048,184.63.87.61.,64899,249.74.250.201.,11795
SYN-ACK,624405352,1926613662,200.190.153.149.,59170,123.116.194.227.,38554
SYN-ACK,1336337580,490442342,223.137.155.99.,10809,159.123.129.8.,8138
SYN-ACK,1703027648,1588985040,223.147.189.238.,17940,123.82.61.135.,13442
ACK(SYN),1966378418,929590986,43.121.218.148.,524,199.58.159.114.,53717
SYN-ACK,940805862,2041404425,166.173.109.84.,9642,199.227.141.29.,8987
SYN-ACK,51880851,578708221,157.147.67.71.,49368,51.10.183.247.,19463
SYN-ACK,764509272,1936029686,21.111.99.119.,2944,48.198.255.30.,27729
ACK(SYN),405010640,1187898213,66.217.210.113.,44344,135.14.253.21.,40882
ACK(SYN),2041404425,940805863,199.227.141.29.,8987,166.173.109.84.,9642
ACK(SYN),1492979810,590288984,179.130.134.86.,5232,20.178.25.154.,49658
SYN-ACK,1898966425,1849321739,124.166.85.8.,56227,252.50.18.58.,28434
SYN-ACK,779576885,1265437549,12.52.73.67.,54279,125.134.73.254.,39040
ACK(SYN),474360290,1090457053,146.129.156.44.,64112,248.58.179.192.,30048
SYN-ACK,1299666158,2133029159,66.118.157.34.,26018,103.168.12.18.,2802
SYN-ACK,282537131,517625395,176.217.63.7.,22379,173.146.43.87.,53271
ACK(SYN),717401049,222552287,136.174.152.1.,28516,219.55.108.236.,1017
ACK(SYN),1588985040,1703027649,123.82.61.135.,13442,223.147.189.238.,17940
SYN-ACK,534358736,1222497116,104.194.211.10.,49798,82.168.252.145.,23704
SYN-ACK,656537437,480136667,163.62.154.102.,49455,3.186.142.182.,9732
ACK(SYN),708455301,2018990029,56.228.189.93.,55103,81.199.189.208.,9377
ACK(SYN),1926613662,624405353,123.116.194.227.,38554,200.190.153.149.,59170
ACK(SYN),2133029159,1299666159,103.168.12.18.,2802,66.118.157.34.,26018
ACK(SYN),480136667,656537438,3.186.142.182.,9732,163.62.154.102.,49455
ACK(SYN),1849321739,1898966426,252.50.18.58.,28434,124.166.85.8.,56227
SYN-ACK,1904382562,194744804,7.45.108.178.,46218,29.195.6.65.,1404
SYN-ACK,960179669,1994039789,39.246.156.67.,64887,18.128.238.1.,4744
SYN-ACK,1423272371,259254068,169.66.79.180.,62488,25.11.115.221.,62265
SYN-ACK,1313933401,2039364827,133.76.209.206.,64798,56.74.177.122.,37686
ACK(SYN),490442342,1336337581,159.123.129.8.,8138,223.137.155.99.,10809
ACK(SYN),739258700,1618670741,136.22.1.136.,34054,34.230.213.196.,49698
ACK(SYN),259254068,1423272372,25.11.115.221.,62265,169.66.79.180.,62488
SYN-ACK,1791771300,1625611160,63.92.67.47.,42220,77.20.20.96.,23838
ACK(SYN),1360348517,786227794,146.205.153.93.,36094,4.148.189.81.,20909
SYN-ACK,492817006,310488464,243.154.78.63.,38789,111.186.86.54.,39728
ACK(SYN),306886657,1065550167,112.60.231.134.,59963,30.65.29.35.,29139
SYN-ACK,394011458,760280591,239.217.200.164.,50893,8.11.255.42.,12218
ACK(SYN),517625395,282537132,173.146.43.87.,53271,176.217.63.7.,22379
ACK(SYN),1936029686,764509273,48.198.255.30.,27729,21.111.99.119.,2944
SYN-ACK,526889590,60220964,175.88.64.255.,4650,21.153.103.32.,21562
ACK(SYN),60220964,526889591,21.153.103.32.,21562,175.88.64.255.,4650
ACK(SYN),36582172,176194489,63.133.143.75.,24581,112.195.146.67.,10095
SYN-ACK,407309050,1721429292,116.22.68.149.,47170,171.5.53.168.,17395
SYN-ACK,744358883,130000724,143.233.41.177.,45723,42.58.218.24.,49088
SYN-ACK,975950678,1404395682,83.126.160.252.,64439,206.133.77.69.,53909
SYN-ACK,1689918969,1465856955,179.58.144.127.,1923,237.27.145.16.,41210
SYN-ACK,940824575,714666877,94.192.172.161.,2342,71.143.146.164.,15768
SYN-ACK,604003988,1603538216,139.17.16.238.,6538,217.18.195.214.,48249
ACK(SYN),1620973965,726021722,218.34.230.208.,5390,19.60.153.209.,8838
SYN-ACK,2043669728,2066278197,60.21.55.17.,14909,82.115.48.221.,27453
SYN-ACK,674272592,1467140030,247.247.96.126.,2237,255.165.91.73.,23201
ACK(SYN),1625611160,1791771301,77.20.20.96.,23838,63.92.67.47.,42220
ACK(SYN),1222497116,534358737,82.168.252.145.,23704,104.194.211.10.,49798
ACK(SYN),1265437549,779576886,125.134.73.254.,39040,12.52.73.67.,54279
SYN-ACK,958057017,1083843694,142.106.220.167.,44691,134.65.78.213.,27324
ACK(SYN),751922651,11455724,178.214.255.252.,10176,8.182.239.85.,15239
ACK(SYN),1467140030,674272593,255.165.91.73.,23201,247.247.96.126.,2237
SYN-ACK,866817730,1998811506,0.229.130.24.,32542,198.235.143.247.,17531
ACK(SYN),1722672758,1752116437,92.141.85.65.,57156,80.189.124.98.,6740
SYN-ACK,1737253576,2071619755,230.39.235.152.,39830,110.172.84.184.,44918
ACK(SYN),714666877,940824576,71.143.146.164.,15768,94.192.172.161.,2342
SYN-ACK,330789436,821669982,247.228.172.28.,21987,157.62.132.228.,34431
SYN-ACK,1218802446,434627421,92.80.119.213.,55698,2.102.244.192.,10556
ACK(SYN),434627421,1218802447,2.102.244.192.,10556,92.80.119.213.,55698
ACK(SYN),1404395682,975950679,206.133.77.69.,53909,83.126.160.252.,64439
ACK(SYN),760280591,394011459,8.11.255.42.,12218,239.217.200.164.,50893
SYN-ACK,93781951,54399412,114.234.164.202.,180,55.207.164.33.,13708
ACK(SYN),130000724,744358884,42.58.218.24.,49088,143.233.41.177.,45723
ACK(SYN),310488464,492817007,111.186.86.54.,39728,243.154.78.63.,38789
SYN-ACK,1626331906,651207781,222.176.216.69.,38335,195.176.5.214.,31235
ACK(SYN),26720810,525081259,161.89.94.68.,25304,21.101.51.91.,15455
SYN-ACK,1542227731,1798256812,88.50.236.245.,34347,69.224.116.148.,46289
SYN-ACK,2104279117,757863977,171.161.103.134.,24312,30.203.220.216.,22832
